日期,个人平均报价1,个人平均报价2,个人参与竞价的有效编码,个人和单位增量指标,个人增量指标,个人平均成交价,个人成交编码,个人最低成交价,个人最低成交价的报价人数,个人最低成交价的成交人数,个人有效编码,单位平均报价1,单位平均报价2,单位参与竞价的有效编码,单位增量指标,单位平均成交价,单位成交编码,单位最低成交价,单位最低成交价的报价人数,单位最低成交价的成交人数,单位有效编码
201502,15522,17021,,4445,3912,22173,1417,10000,12,12,1578,20341,22711,,533,33240,25,10100,1,1,37
201503,12385,12637,,7535,6491,14565,529,10000,23,23,742,14723,14813,,1044,18539,88,10000,4,4,127
201504,11225,11341,,11372,9878,12091,8975,10000,616,616,10281,12897,13275,,1494,15102,248,10000,10,10,334
201505,11198,11426,,5536,3880,13702,3880,12000,1041,58,10646,12631,12957,,1656,14179,372,10000,21,21,502
201506,13806,14321,,4632,2947,19496,2947,17800,88,82,16393,12656,13025,,1685,14218,398,10000,24,24,572
201507,18143,19708,14956,4626,2937,31805,2937,29100,99,40,19179,12891,13355,452,1689,14676,452,10000,20,20,641
201508,27310,30113,10273,4579,2939,54237,2939,49100,19,10,14948,12615,12919,507,1640,14030,507,10000,41,41,746
201509,35037,38079,3016,4483,2945,50665,2945,10800,6,5,7625,11842,12048,552,1538,13294,552,10000,56,56,861
201510,16483,17157,4423,4768,3376,23788,3376,15000,212,20,7299,11278,11610,520,1392,12472,520,10000,64,64,830
201511,16410,17028,7698,4247,2969,23723,2969,20000,439,210,10822,11278,11564,479,1278,12187,479,10000,56,56,834
201512,18380,19388,9155,4140,2938,27617,2938,25000,429,219,12267,11043,11271,531,1202,12101,531,10000,55,55,870
201601,18443,19695,8485,3334,2934,28669,2934,25800,96,29,12576,11543,11766,399,400,12453,399,10000,45,45,488
201602,18918,20477,8537,3345,2940,29043,2940,27000,154,74,11541,11202,11372,471,405,12343,405,10300,1,1,621
201603,21734,23389,7888,3343,2941,31956,2941,30100,309,278,11261,11360,11659,582,402,13365,402,11700,9,4,804
201604,25431,27427,7741,3340,2937,39658,2937,36300,57,18,12371,12584,13115,643,403,15630,403,14000,30,16,1013
201605,28353,30914,8048,3341,2940,45992,2940,42600,47,31,11479,14944,15647,968,401,19546,401,18000,104,34,1329
201606,30527,33653,6299,3341,2941,51237,2941,45900,10,10,9075,19044,20609,1225,400,27933,400,25800,18,17,1663
201607,31022,34133,4334,3354,2951,48577,2951,36500,9,1,7128,23143,25051,1143,403,37103,403,34000,8,1,1857
201608,28965,30680,4561,3352,2949,40501,2949,34500,32,17,6719,27066,29281,1044,403,44094,403,40100,17,16,1774
201609,29042,30883,5202,3349,2939,39729,2939,36300,27,20,7183,30477,33258,815,410,48830,410,44800,4,4,1639
201610,30061,32325,4694,3348,2941,40894,2941,38000,179,34,6666,33647,36606,496,407,48169,407,36000,3,2,1322
201611,32511,34823,4834,3349,2941,42516,2941,40000,207,156,6971,33610,36106,410,408,41794,408,10200,2,2,1224
201612,31793,33896,3901,3355,2937,42320,2937,37000,14,14,6498,20199,20565,560,418,28632,418,15100,25,6,1396
201701,28488,30338,4611,3334,2934,38063,2934,35000,262,71,6765,13192,13680,539,400,18952,400,15000,26,5,658
201702,30416,32551,5002,3351,2949,39584,2949,38000,240,234,6620,15558,16143,778,402,22377,402,19800,18,2,941
201703,31988,34255,5335,3340,2938,42023,2938,40100,214,7,7189,19327,20964,1079,402,28903,402,26400,1,1,1346
201704,34709,37150,3809,3342,2942,44390,2942,41100,29,5,6939,24528,26521,1029,400,36857,400,34800,11,1,1624
201705,37354,39147,3754,3350,2945,45573,2945,42300,18,14,6822,27736,30396,981,405,42775,405,40000,48,34,1678
201706,38043,40269,4543,3352,2950,46759,2950,44300,56,7,6545,31837,34025,910,402,47794,402,45000,80,48,1546
201707,38694,40820,4638,3347,2942,47674,2942,46000,200,118,6633,35061,37398,670,405,49973,405,45100,11,8,1367
201708,41346,42702,4584,3343,2941,51282,2941,49300,53,48,6978,32311,33700,690,402,49743,402,45000,27,6,1449
201709,44786,47559,9582,3338,2935,58538,2935,56800,337,70,12016,37006,40252,592,403,53133,403,49500,3,2,1406
201710,45458,48871,8466,3339,2938,67408,2938,65300,80,68,12205,40588,44500,478,401,56278,401,45900,1,1,1348
201711,55612,59967,7627,3346,2941,82534,2941,79200,116,24,11039,45338,45165,843,405,61714,405,57000,65,11,1704
201801,53183,56836,2828,3334,2934,71143,2828,10000,18,18,5599,45939,48455,628,400,70044,400,60000,11,8,851
201802,18799,19938,22782,3772,3366,44954,3366,38800,263,63,28093,31968,33056,1017,406,57580,406,49500,4,2,1434
201803,26205,29047,20655,3361,2958,59832,2958,56400,6,5,29718,38436,41677,973,403,65190,403,60000,70,25,1465
201804,31224,34808,14829,3350,2948,71967,2948,68000,131,131,24334,41403,44981,833,402,70838,402,65900,1,1,1445
201805,33043,36573,9557,3357,2955,71845,2955,58000,69,61,18208,49549,53717,626,402,76075,402,66000,5,4,1350
201806,34578,37863,8056,3380,2976,63756,2976,52500,5,4,15058,44746,51228,465,404,68130,404,35000,3,2,1185
201807,34775,37724,7312,3375,2967,57802,2967,51000,40,29,13983,36473,37869,325,408,45984,325,10000,4,4,1049
201808,34657,37260,8384,3434,2944,56713,2944,52800,72,41,14082,19059,20230,499,490,27399,490,10100,2,1,1116
201809,35468,37786,9202,3350,2944,58197,2944,55100,112,26,14049,14429,14659,964,406,24411,406,19000,3,2,1626
